unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.24500000000000002,0.09886859966642594,-0.419,-0.24000000000000002,-0.127,8
1,-0.225,0.14823967080373596,-0.518,-0.2,-0.08,8
2,-0.19,0.08660254037844385,-0.33899999999999997,-0.18,-0.08,8
3,-0.31,0.20371548787463364,-0.638,-0.36,-0.04699999999999999,8
4,-0.235,0.0507444578254611,-0.313,-0.22,-0.167,8
5,-0.14500000000000002,0.15612494995995996,-0.353,-0.14,0.06600000000000002,8
6,-0.33,0.07416198487095661,-0.46599999999999997,-0.30000000000000004,-0.247,8
7,-0.14500000000000002,0.07193747284969079,-0.23299999999999998,-0.16,-0.013999999999999986,8
8,-0.20500000000000002,0.09682458365518543,-0.379,-0.2,-0.087,8
9,-0.35,0.1841195263952197,-0.652,-0.32,-0.127,8
10,-0.14,0.04472135954999579,-0.22599999999999998,-0.12,-0.087,8
11,-0.185,0.1182159041753689,-0.32,-0.2,0.04500000000000003,8
12,-0.10500000000000001,0.07984359711335656,-0.252,-0.12,-0.006999999999999993,8
13,-0.255,0.12951833846988617,-0.393,-0.26,-0.00199999999999996,8
14,-0.14500000000000002,0.15866631652622432,-0.372,-0.16,0.15100000000000005,8
15,-0.26,0.09380831519646861,-0.4,-0.24000000000000002,-0.13399999999999998,8
16,-0.32499999999999996,0.1255985668708047,-0.499,-0.33999999999999997,-0.10099999999999998,8
17,-0.1,0.14832396974191325,-0.273,-0.12,0.113,8
18,-0.16999999999999998,0.13527749258468683,-0.32,-0.16,0.05200000000000003,8
19,-0.15000000000000002,0.10344080432788601,-0.313,-0.12,-0.006999999999999993,8
20,-0.225,0.10185774393731682,-0.353,-0.24,-0.08,8
21,-0.17,0.1396424004376894,-0.353,-0.16,0.059000000000000025,8
22,-0.29000000000000004,0.07141428428542851,-0.393,-0.30000000000000004,-0.174,8
23,-0.195,0.13181426326464069,-0.419,-0.16,-0.04699999999999999,8
24,-0.085,0.1666583331249896,-0.365,-0.08,0.17200000000000004,8
25,-0.15500000000000003,0.1255985668708047,-0.386,-0.1,-0.04,8
26,-0.085,0.10476163419878481,-0.259,-0.08,0.04,8
