time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.201,0.04316248370981447,0.13670000000000002,0.21200000000000002,0.2473,8
1,0.263,0.028618176042508364,0.224,0.262,0.3026,8
2,0.2435,0.0481845410894407,0.1703,0.23399999999999999,0.3092,8
3,0.2145,0.01684488052792302,0.1908,0.212,0.2445,8
4,0.1185,0.01624038176891172,0.09079999999999999,0.118,0.14,8
5,0.128,0.016,0.09759999999999999,0.13,0.1492,8
6,0.21750000000000003,0.03059003105588486,0.1649,0.224,0.2624,8
7,0.154,0.034641016151377546,0.08960000000000001,0.166,0.1932,8
8,0.19,0.0425205832509386,0.1223,0.192,0.26030000000000003,8
9,0.261,0.033391615714128,0.2077,0.254,0.317,8
10,0.21200000000000002,0.0439089968002003,0.151,0.20600000000000002,0.29400000000000004,8
11,0.2825,0.044941628808933924,0.2294,0.278,0.3499,8
12,0.2105,0.03882975663070784,0.1595,0.212,0.2789,8
13,0.20400000000000001,0.027422618401604173,0.1595,0.21,0.236,8
14,0.21200000000000002,0.031559467676119,0.1588,0.224,0.2525,8
15,0.139,0.03729611239794303,0.0842,0.138,0.20550000000000002,8
16,0.217,0.04208325082500164,0.1628,0.206,0.272,8
17,0.233,0.030380915061926632,0.1901,0.236,0.2786,8
18,0.2025,0.029995833043941284,0.1418,0.21,0.2313,8
19,0.174,0.038262252939417984,0.128,0.174,0.224,8
20,0.16999999999999998,0.02340939982143925,0.1263,0.176,0.1986,8
21,0.228,0.03836665218650176,0.1807,0.224,0.2944,8
22,0.21000000000000002,0.02778488797889961,0.1668,0.21,0.2532,8
23,0.20299999999999999,0.02937686164313676,0.1635,0.198,0.2473,8
24,0.1975,0.0277803887661782,0.1607,0.194,0.2346,8
25,0.1795,0.04249411723991922,0.1157,0.172,0.253,8
26,0.2115,0.03982147661752387,0.14300000000000002,0.22399999999999998,0.2546,8
27,0.0885,0.032461515676258865,0.052,0.08399999999999999,0.128,8
28,0.1945,0.031044323152550776,0.1463,0.196,0.24950000000000003,8
29,0.21550000000000002,0.05069270164431957,0.1326,0.208,0.3008,8
30,0.20650000000000002,0.026301140659674822,0.1609,0.216,0.23529999999999998,8
31,0.16799999999999998,0.012328828005937952,0.15009999999999998,0.166,0.1873,8
32,0.13699999999999998,0.02937686164313676,0.0948,0.14400000000000002,0.17529999999999998,8
33,0.1885,0.025724501938813125,0.1567,0.182,0.22590000000000002,8
34,0.189,0.04542025979670306,0.1143,0.196,0.2589,8
35,0.24500000000000002,0.04611941023040083,0.158,0.252,0.3064,8
36,0.21750000000000003,0.03687478813498458,0.1708,0.21200000000000002,0.2824,8
37,0.2575,0.036547913757148984,0.20020000000000002,0.266,0.3085,8
38,0.197,0.029512709126747413,0.1607,0.194,0.23529999999999998,8
39,0.2625,0.03979635661715781,0.1962,0.268,0.321,8
40,0.122,0.03532704346531139,0.0727,0.11599999999999999,0.1751,8
41,0.243,0.03497141690009143,0.204,0.238,0.2932,8
42,0.264,0.039496835316262996,0.1853,0.276,0.3026,8
43,0.28400000000000003,0.023237900077244498,0.26,0.276,0.32780000000000004,8
44,0.033,0.024310491562286436,0.0087,0.024,0.07390000000000001,8
45,0.1995,0.02859632843565761,0.1588,0.194,0.2445,8
46,0.15550000000000003,0.033071891388307385,0.0931,0.164,0.19720000000000001,8
47,0.14700000000000002,0.021702534414210703,0.1174,0.15000000000000002,0.1779,8
48,0.20550000000000002,0.018214005600086985,0.1814,0.202,0.2313,8
49,0.2245,0.05155337040388339,0.1437,0.23199999999999998,0.2899,8
