experiment_name,experiment_slug,execution_mode,search_name,search_slug,split_kind,outer_num_folds,test_fold_id,candidate_name,candidate_slug,candidate_index,cv_fold_id,num_training_slots,num_validation_slots,num_post_s_validation_slots,fit_path,status,fit_loss,validation_loss,validation_brier_score,validation_ece,post_s_validation_loss,post_s_validation_brier_score,post_s_validation_ece,validation_mean_magnetization_abs_diff,validation_observed_mean_magnetization,validation_sampled_mean_magnetization_mean,post_s_validation_mean_magnetization_abs_diff,post_s_validation_observed_mean_magnetization,post_s_validation_sampled_mean_magnetization_mean
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,1,287491,46962,25958,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0001/fold_1,completed,0.4278798029651292,0.6505013237880842,0.1997394382525276,0.08195509125890946,0.5474905059068433,0.17902100397067525,0.04031132489747259,0.029904497253098267,-0.21838933605894126,-0.24829383331203952,0.027289274982664313,-0.3154326219277294,-0.34272189691039373
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,2,287514,46928,26231,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0001/fold_2,completed,0.4331791699188395,0.62176862219171,0.1671575405618959,0.05993453443493482,0.535415257237793,0.17703165352395986,0.04531478934842684,0.0002850110808045869,-0.37623593590180704,-0.3765209469826116,0.05471102893522928,-0.3934657466356601,-0.3387547177004308
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,3,287577,46911,26419,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0001/fold_3,completed,0.43185769831413007,0.5792708124770286,0.18541242828146626,0.05631101478872814,0.5897099348365625,0.19686757770942664,0.03866011541026374,0.010280104879452578,-0.2696382511564452,-0.2593581462769926,0.0030044664824558087,-0.23956243612551573,-0.23655796964305992
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,4,287496,46909,26569,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0001/fold_4,completed,0.43983865579072773,0.5111594761623818,0.1648628595375778,0.029246239300761447,0.5629873270982377,0.18638627446040107,0.037486344242521896,0.0004796520923490699,-0.28239783410432967,-0.2819181820119806,0.033097783130716235,-0.17113929767774474,-0.20423708080846098
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,5,287525,46917,26474,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0001/fold_5,completed,0.4343127308757481,0.6557681231308646,0.19815272503244613,0.09334475763855214,0.5655974811150112,0.18978916932226889,0.06550597094069918,0.15657704030521985,-0.3579725898927894,-0.20139554958756956,0.09848813930648942,-0.2644859107048425,-0.1659977713983531
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,6,287426,46954,26123,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0001/fold_6,completed,0.43717421716561233,0.5610188092741558,0.17465543562422625,0.05117223669110288,0.584840237276006,0.18432077577128028,0.037414017167867075,0.023778591813264027,-0.30037909443284916,-0.27660050261958513,0.039821230333422664,-0.17245339356122957,-0.1326321632278069
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,7,287485,46945,26080,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0001/fold_7,completed,0.42841435621261387,1.0695661803544723,0.2469749557962953,0.14118513576318678,0.6239066213050515,0.20009718521227257,0.10087028014886251,0.23487858131856426,-0.3684950473958888,-0.13361646607732452,0.14374041411042943,-0.37875766871165645,-0.23501725460122702
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0002,xi_zero_candidate_0002,2,1,287491,46962,25958,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0002/fold_1,completed,0.42909590887378507,0.6172296669305789,0.19667095090433967,0.07475312811743696,0.5396691387700476,0.17776350637228489,0.03788185231707353,0.03552872535241261,-0.21838933605894126,-0.25391806141135387,0.026812543339240325,-0.3154326219277294,-0.34224516526696974
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0002,xi_zero_candidate_0002,2,2,287514,46928,26231,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0002/fold_2,completed,0.43528530808365845,0.5513711856377816,0.16554149007447624,0.05001482325484981,0.5316898632167402,0.17676179846202508,0.04163176418701532,0.0001145371633139991,-0.37623593590180704,-0.37635047306512104,0.05121802447485796,-0.3934657466356601,-0.3422477221608021
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01,outcome_death_rate_100k_ge_2_intervention_complete_cov_ge_30_lag_2w_distance_kernel_8_start_2020_03_01,cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0002,xi_zero_candidate_0002,2,3,287577,46911,26419,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/USCounty/outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2020_03_01/cv_runs/xi_zero/candidates/xi_zero_candidate_0002/fold_3,completed,0.43387077236895866,0.5462085378450912,0.17969632544929412,0.04513227239685394,0.565678675135906,0.18966670927174345,0.028179905301821406,0.002595340112127198,-0.2696382511564452,-0.267042911044318,0.011412241190052602,-0.23956243612551573,-0.25097467731556833
