category,name,estimate,true,squared_error
scalar,beta,-0.036000379854605434,,
scalar,xi,1.4846876469113839,,
scalar,eta,0.12519553803344488,,
metric,final_loss,0.40294152766266267,,
metric,penalized_objective,0.4193618094176409,,
metric,mple_loss_without_penalty,0.40294152766266267,,
metric,lambda_uv_ridge,0.05,,
metric,u_frobenius_norm,273.5989366636612,,
metric,v_frobenius_norm,2.2360679774997907,,
metric,effective_rank,5.0,,
latent_diagnostic,estimated_field_max_abs_entry,2.319281765641849,,
latent_diagnostic,estimated_field_rank,5.0,5.0,
