experiment_name,descriptor,variant_name,variant_slug,optimizer_mode,field_mode,latent_rank,lambda_nuclear,lambda_frobenius,lambda_uv_ridge,fixed_scalar_params,ranking_mode,rank_in_experiment,is_best,total_recovery_rmse,final_loss,field_rmse,interaction_fro_error,optimizer_status,beta_estimate,xi_estimate,eta_estimate,estimated_field_max_abs_entry,estimated_field_rank,estimated_field_frobenius_norm,estimated_field_nuclear_norm,estimated_singular_value_count,estimated_u_frobenius_norm,estimated_v_frobenius_norm,estimated_sv_1,estimated_sv_2,estimated_sv_3,estimated_sv_4,estimated_sv_5
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_8_uv_5_e4_beta_mask,alternating_rank_8_uv_5_e4_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.0005,{},final_loss_only,1,True,,0.3589764765843684,,,CONVERGED: alternating objective tolerance reached,0.01403243264538573,0.9309276367101263,-0.07133316526899947,52.797102253132344,8,1662.8189045840697,4486.803035004468,8,2.8284271247461903,2.8284271247461903,859.3477964584259,833.9518066882969,576.8696305905875,513.1692575258871,477.0685413893849
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_8_uv_1_e3_beta_mask,alternating_rank_8_uv_1_e3_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.001,{},final_loss_only,2,False,,0.3617670658945476,,,CONVERGED: alternating objective tolerance reached,-0.0002690136502901111,0.9537165800663352,-0.07792305463928297,34.91816818937573,8,1251.8857966078024,3387.232439715588,8,2.8284271247461903,2.8284271247461903,671.0065409658474,593.0387551579316,440.5624101091062,392.84809775427703,341.64836974703894
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_8_uv_5_e3_beta_mask,alternating_rank_8_uv_5_e3_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.005,{},final_loss_only,3,False,,0.37049517797368536,,,CONVERGED: alternating objective tolerance reached,-0.025772808494929456,1.0200627194609528,-0.11082136587365198,14.820259302981185,8,669.4651190810705,1770.8481369935223,8,2.8284271247461903,2.8284271247461903,387.1035700421132,334.98327367994966,206.5984066041444,190.35713253266812,179.23291300154057
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_8_uv_1_e2_beta_mask,alternating_rank_8_uv_1_e2_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.01,{},final_loss_only,4,False,,0.3749797603632837,,,CONVERGED: alternating objective tolerance reached,-0.03928298773032184,1.097741908233946,-0.09638998916885658,10.616517708114902,8,544.9682481921666,1421.9737085959005,8,2.8284271247461903,2.8284271247461903,328.448830454522,278.416867695822,154.40483024783074,147.01764439047722,138.488240405342
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_8_uv_5_e2_beta_mask,alternating_rank_8_uv_5_e2_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.05,{},final_loss_only,5,False,,0.3916659014760256,,,CONVERGED: alternating objective tolerance reached,-0.032080223285350366,1.3688141858030756,-0.01787147245857616,3.4724512209979452,8,335.821048724889,849.2773080409435,8,2.8284271247461903,2.8284271247461903,222.56793777821332,164.84356218834074,90.49882096641169,87.504850465491,78.0838327234564
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_8_uv_1_e1_beta_mask,alternating_rank_8_uv_1_e1_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.1,{},final_loss_only,6,False,,0.40430722273525505,,,CONVERGED: alternating objective tolerance reached,-0.022103879251839126,1.4598077641470513,0.08407336310365121,2.375204381568936,8,254.83466064729714,641.3266079292384,8,2.8284271247461903,2.8284271247461903,177.92294960355792,112.53441915888637,64.42894505878539,63.90532199398052,56.991141837748934
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_5_uv_5_e4_beta_mask,alternating_rank_5_uv_5_e4_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.0005,{},final_loss_only,7,False,,0.4051995484458814,,,CONVERGED: alternating objective tolerance reached,0.01249945376581685,1.0855210860330111,0.00014443211396129442,58.914394671597,5,1202.359533439053,2543.139632744935,5,2.23606797749979,2.23606797749979,761.9308930870051,612.9192772363575,508.4542473073257,411.28942161515164,248.5457934990907
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_5_uv_1_e3_beta_mask,alternating_rank_5_uv_1_e3_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.001,{},final_loss_only,8,False,,0.4068237214068246,,,CONVERGED: alternating objective tolerance reached,0.0036460564856398486,1.0733257880252973,-0.004759508858869289,37.35965283277359,5,899.141374506472,1918.240675677376,5,2.23606797749979,2.23606797749979,568.2687876372679,446.552136267946,394.7254375635091,275.8397398642383,232.85457434441068
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_5_uv_5_e3_beta_mask,alternating_rank_5_uv_5_e3_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.005,{},final_loss_only,9,False,,0.41075606748765203,,,CONVERGED: alternating objective tolerance reached,-0.02896961111613293,1.0445228730531078,-0.040496940761700045,14.316494434702886,5,502.5860461782916,1047.1455636723317,5,2.23606797749979,2.23606797749979,326.7796648064781,288.77627378500665,156.95153221864396,143.20222965395166,131.43586320824798
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_5_uv_1_e2_beta_mask,alternating_rank_5_uv_1_e2_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.01,{},final_loss_only,10,False,,0.41277324931133197,,,CONVERGED: alternating objective tolerance reached,-0.034375004677699675,1.0920335072169838,-0.032179132204016185,5.779388576364316,5,428.1335708012514,888.0452624546422,5,2.23606797749979,2.23606797749979,286.87899978239125,238.12322099778055,134.90511663795007,120.12200462304071,108.01592041347682
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_5_uv_5_e2_beta_mask,alternating_rank_5_uv_5_e2_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.05,{},final_loss_only,11,False,,0.4227266929256846,,,CONVERGED: alternating objective tolerance reached,-0.028619471455900495,1.310575770050999,0.024624412957337444,2.739089172076406,5,283.87916963811494,579.810974110201,5,2.23606797749979,2.23606797749979,202.22708890713128,148.97200855356698,81.40583975645859,77.91629671002057,69.28974018302137
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_5_uv_1_e1_beta_mask,alternating_rank_5_uv_1_e1_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.1,{},final_loss_only,12,False,,0.43232253089635747,,,CONVERGED: alternating objective tolerance reached,-0.016991035945886263,1.4281166519581752,0.0903572636846423,1.952341110739615,5,219.54528348931822,439.81069590809034,5,2.23606797749979,2.23606797749979,166.93428383563517,103.84292150106354,58.719237294403584,58.086117108492594,52.228136168493705
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__distance_kernel_8__start_2021_01_03,alternating_rank_8_uv_5_e1_beta_mask,alternating_rank_8_uv_5_e1_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.5,{},final_loss_only,13,False,,0.44455450275509056,,,CONVERGED: alternating objective tolerance reached,-0.007914645261820404,1.5092408566524136,0.19049817899863114,1.2444494628850578,8,130.2097640285262,290.61982802134247,8,2.8284271247461903,2.8284271247461903,109.78880754807571,39.377633776158106,26.528813124783188,24.601009390339424,23.562590232664565
