category,name,estimate,true,squared_error
parameter,field::intercept,0.3127713804179652,0.315,4.966745241428951e-06
parameter,field::linear::feature_1,0.31157026045606995,0.308,1.2746759724176818e-05
parameter,field::quadratic::feature_1,0.3638998251958194,0.35,0.00019320514047433716
parameter,field::linear::feature_2,-0.5882890350353288,-0.58,6.870810181690917e-05
parameter,field::quadratic::feature_2,0.564722204960441,0.5,0.0041889638149413344
parameter,field::linear::feature_3,-0.6099149250755527,-0.6,9.830573925382359e-05
parameter,field::quadratic::feature_3,-0.10436384668243259,-0.05,0.002955427826111037
parameter,field::linear::feature_4,0.10750648739735946,0.08,0.0007566068489410949
parameter,field::quadratic::feature_4,0.15242318384345457,0.1,0.0027481902042846363
parameter,field::linear::feature_5,0.28950938414234617,0.3,0.00011005302107285774
parameter,field::quadratic::feature_5,0.41989903604461015,0.4,0.00039597163550469315
parameter,beta,0.4047772338347812,0.4,2.2821963112178104e-05
parameter,interaction::adjacency,0.5118998075878072,0.5,0.00014160542062683325
parameter,eta,0.10274929381019593,0.1,7.558616454781622e-06
parameter,zeta,-0.49438825851162593,-0.5,3.1491642532338784e-05
parameter,psi,0.39523570704486,0.4,2.269848736239688e-05
metric,final_loss,0.5655882088109687,,
metric,field_rmse,0.015761559007414223,,
metric,interaction_fro_error,0.011905761957750846,,
metric,parameter_rmse,0.027110101861961503,,
