category,name,estimate,true,squared_error
parameter,field::intercept,0.22012334372603848,0.175,0.002036116149018217
parameter,field::linear::feature_1,0.08212457692363281,0.14,0.003349564596268497
parameter,field::quadratic::feature_1,-0.24806532817887406,-0.125,0.015145074999773973
parameter,field::linear::feature_2,0.08994659033371895,0.007,0.006880136847989797
parameter,field::quadratic::feature_2,-0.005313335015449383,0.125,0.01698156528284875
parameter,field::linear::feature_3,0.09709580165801691,0.14,0.0018407702353682254
parameter,field::quadratic::feature_3,-0.14141170979451312,-0.125,0.0002693442183793178
parameter,field::linear::feature_4,-0.059331613723492764,-0.04,0.0003737112891543337
parameter,field::quadratic::feature_4,0.14281883959018757,0.125,0.0003175110443408359
parameter,field::linear::feature_5,-0.27991551932287523,-0.18,0.009983111001559854
parameter,field::quadratic::feature_5,0.34378965213801926,0.185,0.025214153626113168
parameter,beta,0.13044566266341995,0.12,0.00010911186847796562
parameter,interaction::adjacency,0.2158680616101948,0.125,0.00825700462079416
parameter,interaction::distance_kernel::feature_1,-0.34372008812573157,0.04,0.14724110603121918
parameter,interaction::cross_similarity::feature_1,1.1503187722518042,0.02,1.277620526904826
parameter,interaction::distance_kernel::feature_2,-0.5991107544388783,0.04,0.40846255643943225
parameter,interaction::cross_similarity::feature_2,-5.534932923969341,0.02,30.857279789798564
parameter,interaction::distance_kernel::feature_3,-0.40210219920181933,0.04,0.19545435453908513
parameter,interaction::cross_similarity::feature_3,1.24316599138336,0.02,1.4961350424768376
parameter,interaction::distance_kernel::feature_4,0.16175830594852567,0.04,0.014825085067454778
parameter,interaction::cross_similarity::feature_4,-0.09858930543627234,0.02,0.014063423363857493
parameter,interaction::distance_kernel::feature_5,0.9528220576903401,0.065,0.7882280061215097
parameter,interaction::cross_similarity::feature_5,-2.5649783277509446,0.07,6.943110787717163
parameter,eta,-0.001801003477233945,0.01,0.00013926368306968768
parameter,zeta,-0.14247967068362574,-0.15,5.655535302671803e-05
parameter,psi,0.03993883982222588,0.05,0.00010122694412282779
metric,final_loss,0.6759883245890683,,
metric,field_rmse,0.06685699659204805,,
metric,interaction_fro_error,2.2590152452965424,,
metric,parameter_rmse,1.2745055587321856,,
