category,name,estimate,true,squared_error
parameter,field::intercept,0.3063697267163705,0.315,7.448161695012867e-05
parameter,field::linear::feature_1,0.33323483195913733,0.308,0.0006367967440058992
parameter,field::quadratic::feature_1,0.36631896744920156,0.35,0.0002663086986081008
parameter,field::linear::feature_2,-0.6012994106949853,-0.58,0.00045366489595365464
parameter,field::quadratic::feature_2,0.3913352834825736,0.5,0.011808020615812636
parameter,field::linear::feature_3,-0.592988233959406,-0.6,4.9164863008026524e-05
parameter,field::quadratic::feature_3,0.00887768848764957,-0.05,0.0034665822016487027
parameter,field::linear::feature_4,-0.02342220309849304,0.08,0.010696152093745942
parameter,field::quadratic::feature_4,0.09678131238853922,0.1,1.0359949940171118e-05
parameter,field::linear::feature_5,0.34736367349821795,0.3,0.0022433175672457945
parameter,field::quadratic::feature_5,0.4449407380539687,0.4,0.0020196699368354304
parameter,beta,0.38482773884354526,0.4,0.00023019750859966587
parameter,interaction::adjacency,0.4900024479141737,0.5,9.995104770881003e-05
parameter,eta,0.09379596984515276,0.1,3.848999016225394e-05
parameter,zeta,-0.5019389570163344,-0.5,3.759554311192388e-06
parameter,psi,0.3871008469705081,0.4,0.0001663881488782502
metric,final_loss,0.572338733838524,,
metric,field_rmse,0.0532394584229137,,
metric,interaction_fro_error,0.016788579960338466,,
metric,parameter_rmse,0.04490497288261531,,
