category,name,estimate,true,squared_error
parameter,field::intercept,0.533409649467065,0.5,0.0011162046775121592
parameter,beta,0.3748054317925392,0.4,0.0006347662671603944
parameter,interaction::adjacency,0.4088212380452188,0.5,0.008313566631606656
parameter,eta,0.10581222297571057,0.1,3.378193591937772e-05
parameter,zeta,-0.5011011264663472,-0.5,1.2124794948902513e-06
parameter,psi,0.3857543905432872,0.4,0.00020293738879318592
metric,final_loss,0.5504458170556187,,
metric,field_rmse,0.03340964946706504,,
metric,interaction_fro_error,0.15129803311668624,,
metric,parameter_rmse,0.04143764267041636,,
