category,name,estimate,true,squared_error
parameter,field::intercept,0.18094350698636574,0.175,3.532527529697853e-05
parameter,field::linear::feature_1,0.1305292662630925,0.14,8.96947975153982e-05
parameter,field::quadratic::feature_1,-0.09318692620234677,-0.125,0.0010120716644549306
parameter,field::linear::feature_2,-0.026353218333015616,0.007,0.0011124371731698092
parameter,field::quadratic::feature_2,0.14934919904039914,0.125,0.0005928834939089746
parameter,field::linear::feature_3,0.13343570432913557,0.14,4.308997765452969e-05
parameter,field::quadratic::feature_3,-0.1775425166428365,-0.125,0.0027607160551627497
parameter,field::linear::feature_4,-0.07967462161319534,-0.04,0.001574075600150227
parameter,field::quadratic::feature_4,0.05106710537151847,0.125,0.005466072908146153
parameter,field::linear::feature_5,-0.14327185551632773,-0.18,0.001348956597213505
parameter,field::quadratic::feature_5,0.1266548368895005,0.185,0.003404158058390792
parameter,beta,0.11509407108978643,0.12,2.406813847206922e-05
parameter,interaction::adjacency,0.14577335475416892,0.15,1.786453003410646e-05
parameter,eta,0.0030598907170758393,0.01,4.8165116858930116e-05
parameter,zeta,-0.12649036037553327,-0.15,0.0005527031552722961
parameter,psi,0.030591731530631595,0.05,0.00037668088497907993
metric,final_loss,0.6716317415778907,,
metric,field_rmse,0.038741845683856725,,
metric,interaction_fro_error,0.029886895149970377,,
metric,parameter_rmse,0.03396594197379977,,
