category,name,estimate,true,squared_error
parameter,field::intercept,0.49587790442046986,0.5,1.6991671966781908e-05
parameter,beta,0.4013649421793295,0.4,1.8630671529126988e-06
parameter,interaction::adjacency,0.5062118328849969,0.5,3.8586867791129374e-05
parameter,eta,0.09954885649113294,0.1,2.0353046559288364e-07
parameter,zeta,-0.49866164973449106,-0.5,1.7911814331878403e-06
parameter,psi,0.3988145386801276,0.4,1.4053185409136248e-06
metric,final_loss,0.5254973096069171,,
metric,field_rmse,0.004122095579530139,,
metric,interaction_fro_error,0.006212454161467767,,
metric,parameter_rmse,0.0031843795144035603,,
