category,name,estimate,true,squared_error
parameter,field::intercept,0.170023417240499,0.175,2.476637596216256e-05
parameter,field::linear::feature_1,0.15326282317306172,0.14,0.0001759024785199027
parameter,field::quadratic::feature_1,-0.12157243003043346,-0.125,1.1748235896274396e-05
parameter,field::linear::feature_2,0.006520911695370537,0.007,2.295256036327332e-07
parameter,field::quadratic::feature_2,0.13003481959613997,0.125,2.5349408365675016e-05
parameter,field::linear::feature_3,0.1431765620456386,0.14,1.0090546429791673e-05
parameter,field::quadratic::feature_3,-0.1255265312347973,-0.125,2.7723514121715835e-07
parameter,field::linear::feature_4,-0.030000774958693043,-0.04,9.998450142670014e-05
parameter,field::quadratic::feature_4,0.13613916516145844,0.125,0.00012408100049424934
parameter,field::linear::feature_5,-0.17770139739079327,-0.18,5.283573955051957e-06
parameter,field::quadratic::feature_5,0.18602722087677218,0.185,1.055182729676602e-06
parameter,beta,0.11887540811044064,0.12,1.2647069180626714e-06
parameter,interaction::adjacency,0.17852195572610305,0.15,0.0008135019584417828
parameter,eta,0.010675352340931095,0.01,4.561007844011096e-07
parameter,zeta,-0.15206650680438838,-0.15,4.270450372583495e-06
parameter,psi,0.05144566038339902,0.05,2.089933944129388e-06
metric,final_loss,0.6736399813935332,,
metric,field_rmse,0.006840518220058885,,
metric,interaction_fro_error,0.07779915981981343,,
metric,parameter_rmse,0.009015095725314339,,
