category,name,estimate,true,squared_error
parameter,field::intercept,0.1816809782749134,0.175,4.463547070986485e-05
parameter,field::linear::feature_1,0.13669842058606133,0.14,1.090042662654373e-05
parameter,field::quadratic::feature_1,-0.09754020294287817,-0.125,0.0007540404544183167
parameter,field::linear::feature_2,5.9332363416525416e-05,0.007,4.817286724151723e-05
parameter,field::quadratic::feature_2,0.14278796384596348,0.125,0.000316411657785304
parameter,field::linear::feature_3,0.14894732313291756,0.14,8.005459124484143e-05
parameter,field::quadratic::feature_3,-0.13745373569456845,-0.125,0.00015509553275016837
parameter,field::linear::feature_4,-0.03916518006731236,-0.04,6.969243200126006e-07
parameter,field::quadratic::feature_4,0.13115522452989603,0.125,3.788678901343381e-05
parameter,field::linear::feature_5,-0.18011508564400874,-0.18,1.3244705456908732e-08
parameter,field::quadratic::feature_5,0.20572344903330753,0.185,0.0004294613398360947
parameter,beta,0.12130291788121285,0.12,1.697595005184191e-06
parameter,interaction::adjacency,0.12550725752552716,0.15,0.0005998944339208457
parameter,eta,0.012367035171837317,0.01,5.602855504714917e-06
parameter,zeta,-0.1495045727743161,-0.15,2.454481359488271e-07
parameter,psi,0.04929393475549647,0.05,4.985281294958356e-07
metric,final_loss,0.6730953740981203,,
metric,field_rmse,0.008473577009945922,,
metric,interaction_fro_error,0.02449519211618654,,
metric,parameter_rmse,0.0124632162766773,,
