category,name,estimate,true,squared_error
parameter,field::intercept,0.2032041903854278,0.175,0.000795476355297459
parameter,field::linear::feature_1,0.24367191260756813,0.14,0.01074786546371124
parameter,field::quadratic::feature_1,-0.1745047816463571,-0.125,0.002450723405853495
parameter,field::linear::feature_2,0.027214650067788605,0.007,0.00040863207736314586
parameter,field::quadratic::feature_2,0.0737741359982969,0.125,0.002624089142720982
parameter,field::linear::feature_3,0.1701245781587813,0.14,0.000907490209244522
parameter,field::quadratic::feature_3,-0.28658951321802617,-0.125,0.026111170782038656
parameter,field::linear::feature_4,-0.02881848734337141,-0.04,0.00012502622529034533
parameter,field::quadratic::feature_4,0.24124519822118576,0.125,0.013512946109482768
parameter,field::linear::feature_5,-0.23783564791878006,-0.18,0.0033449621701850895
parameter,field::quadratic::feature_5,0.17575961126568126,0.185,8.538478396132456e-05
parameter,beta,0.12117417451757073,0.12,1.3786857977124715e-06
parameter,interaction::adjacency,0.6892379409677076,0.125,0.3183644540274783
parameter,interaction::distance_kernel::feature_1,-0.20229892635666846,0.04,0.058708769713594254
parameter,interaction::cross_similarity::feature_1,-2.8673294770022637,0.02,8.336671508766166
parameter,interaction::distance_kernel::feature_2,-0.36835423824236724,0.04,0.166753183890504
parameter,interaction::cross_similarity::feature_2,-1.8782378001173834,0.02,3.6033067457944834
parameter,interaction::distance_kernel::feature_3,-0.4727858264236439,0.04,0.26294930378097947
parameter,interaction::cross_similarity::feature_3,-0.4103398916310596,0.02,0.18519242232903213
parameter,interaction::distance_kernel::feature_4,0.2760228626141555,0.04,0.05570679167658051
parameter,interaction::cross_similarity::feature_4,-0.09487817024041725,0.02,0.01319699399778629
parameter,interaction::distance_kernel::feature_5,0.09017521062023538,0.065,0.0006337912297732123
parameter,interaction::cross_similarity::feature_5,-0.6001322797912346,0.07,0.4490772724181975
parameter,eta,0.013579120160643715,0.01,1.2810101124326294e-05
parameter,zeta,-0.14360053569753892,-0.15,4.0953143358473644e-05
parameter,psi,0.04933188345432229,0.05,4.463797186083218e-07
metric,final_loss,0.6754882940258895,,
metric,field_rmse,0.05053224642608613,,
metric,interaction_fro_error,1.4099743963044973,,
metric,parameter_rmse,0.7208896905016244,,
