category,name,estimate,true,squared_error
parameter,field::intercept,0.4016634872482535,0.35,0.0026691159146504558
parameter,field::linear,-0.11643785414009064,-0.2,0.006982632220712769
parameter,field::quadratic,0.08833022729945939,0.08,6.939268686065837e-05
parameter,beta,0.2471700549461967,0.25,8.008589007545737e-06
parameter,interaction::adjacency,0.08676293910648986,0.14,0.0028341846525793087
parameter,interaction::distance_kernel,0.0007507488197376574,0.08,0.006280443812632311
parameter,interaction::cross_similarity,-0.12294850272742329,-0.06,0.003962513995624418
parameter,eta,0.007962963721041329,0.01,4.149516801793789e-06
parameter,zeta,-0.021605009771287903,-0.03,7.047586094017156e-05
parameter,psi,0.1073025501653627,0.1,5.3327238917638806e-05
metric,final_loss,0.6607362178700731,,
metric,field_rmse,0.00697177912093602,,
metric,interaction_fro_error,0.11435533420368303,,
metric,parameter_rmse,0.04788971130496306,,
